CHEBI:18303	phosphatidyl-L-serine
CHEBI:18367	phosphate(3-)
CHEBI:16526	carbon dioxide
CHEBI:29035	manganese(2+)
CHEBI:63728	8-oxo-dGDP
CHEBI:17797	aldehydo-D-ribose 5-phosphate
CHEBI:16027	AMP
CHEBI:63211	2-hydroxy-dAMP
CHEBI:16960	ADP-D-ribose
CHEBI:17808	IDP
CHEBI:15377	water
CHEBI:18420	magnesium(2+)
CHEBI:65135	8-oxo-GMP
CHEBI:65134	8-oxo-GDP
CHEBI:65119	2-hydroxy-ATP
CHEBI:17202	IMP
CHEBI:29035	manganese(2+)
CHEBI:70963	8-hydroxy-dADP
CHEBI:70964	8-hydroxy-dAMP
CHEBI:63208	2-hydroxy-dATP
CHEBI:63223	8-oxo-dGMP
CHEBI:63220	8-oxo-dGTP
CHEBI:28823	2'-deoxyinosine-5'-diphosphate
CHEBI:29888	diphosphoric acid
CHEBI:18367	phosphate(3-)
CHEBI:28806	2'-deoxy-5'-inosinic acid
CHEBI:65129	2-hydroxy-AMP
CHEBI:17750	glycine betaine
CHEBI:29888	diphosphoric acid
CHEBI:57844	L-methionine zwitterion
CHEBI:16680	S-adenosyl-L-homocysteine
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:17728	S-methyl-L-methionine
CHEBI:17230	homocysteine
CHEBI:16238	FAD
CHEBI:17621	FMN
CHEBI:28115	methylcobalamin
CHEBI:16335	adenosine
CHEBI:15982	cob(I)alamin
CHEBI:18420	magnesium(2+)
CHEBI:29105	zinc(2+)
CHEBI:15846	NAD(+)
CHEBI:29103	potassium(1+)
CHEBI:18367	phosphate(3-)
CHEBI:15414	S-adenosyl-L-methionine
CHEBI:17724	N,N-dimethylglycine
CHEBI:2290	7alpha-hydroxy-5beta-cholestan-3-one
CHEBI:28533	3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestan-26-oyl-CoA
CHEBI:16027	AMP
CHEBI:16240	hydrogen peroxide
CHEBI:17278	5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol
CHEBI:16908	NADH
CHEBI:28477	7alpha,12alpha-dihydroxycholest-4-en-3-one
CHEBI:52050	(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-oyl-CoA
CHEBI:28701	chenodeoxycholoyl-CoA
CHEBI:37642	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA
CHEBI:27428	3alpha,7alpha-dihydroxy-5beta-cholestan-26-al
CHEBI:2288	7alpha,12alpha-dihydroxy-5beta-cholestan-3-one
CHEBI:15422	ATP
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:36274	glycochenodeoxycholic acid
CHEBI:16474	NADPH
CHEBI:16761	ADP
CHEBI:16577	3alpha,7alpha-dihydroxy-5beta-cholestan-26-oic acid
CHEBI:18402	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oic acid
CHEBI:15846	NAD(+)
CHEBI:17687	glycocholic acid
CHEBI:16496	5beta-cholestane-3alpha,7alpha,12alpha-triol
CHEBI:15494	3alpha,7alpha-dihydroxy-5beta-cholestan-26-oyl-CoA
CHEBI:28834	deoxycholic acid
CHEBI:16238	FAD
CHEBI:16113	cholesterol
CHEBI:57305	glycine zwitterion
CHEBI:28540	5beta-cholestane-3alpha,7alpha,26-triol
CHEBI:15539	propionyl-CoA
CHEBI:28047	5beta-cholestane-3alpha,7alpha-diol
CHEBI:17899	7alpha-hydroxycholest-4-en-3-one
CHEBI:27379	3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestan-26-oyl-CoA
CHEBI:29888	diphosphoric acid
CHEBI:27505	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-en-26-oyl-CoA
CHEBI:27403	3alpha,7alpha,24-trihydroxy-5beta-cholestan-26-oyl-CoA
CHEBI:15346	coenzyme A
CHEBI:27393	3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA
CHEBI:16359	cholic acid
CHEBI:16525	taurochenodeoxycholic acid
CHEBI:15519	choloyl-CoA
CHEBI:16325	lithocholic acid
CHEBI:16466	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al
CHEBI:15891	taurine
CHEBI:18009	NADP(+)
CHEBI:28865	taurocholic acid
CHEBI:18367	phosphate(3-)
CHEBI:17500	7alpha-hydroxycholesterol
CHEBI:16755	chenodeoxycholic acid
CHEBI:53108	aflatoxin B1 triol
CHEBI:15346	coenzyme A
CHEBI:15366	acetic acid
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:30725	aflatoxin B1 exo-8,9-epoxide
CHEBI:78576	aflatoxin M1
CHEBI:78586	aflatoxin B1 endo-8,9-oxide
CHEBI:16474	NADPH
CHEBI:53106	aflatoxin B1 8,9-dihydrodiol
CHEBI:78582	aflatoxin Q1
CHEBI:2504	aflatoxin B1
CHEBI:57305	glycine zwitterion
CHEBI:78577	aflatoxin M1 8,9-epoxide
CHEBI:53107	aflatoxin B1 dialdehyde
CHEBI:29985	L-glutamate(1-)
CHEBI:18009	NADP(+)
CHEBI:29105	zinc(2+)
CHEBI:16856	glutathione
CHEBI:15351	acetyl-CoA
CHEBI:61088	S-nitroso-L-cysteinylglycine
CHEBI:33101	nitrogen dioxide
CHEBI:17627	ferroheme b
CHEBI:15377	water
CHEBI:15378	hydron
CHEBI:15379	dioxygen
CHEBI:48107	nitric acid
CHEBI:16480	nitric oxide
CHEBI:16134	ammonia
CHEBI:16301	nitrite
CHEBI:16908	NADH
CHEBI:59637	S-nitrosomycothiol
CHEBI:50091	S-nitrosoglutathione
CHEBI:16086	mycothione
CHEBI:29120	oxidonitrogen(1+)
CHEBI:15846	NAD(+)
CHEBI:29105	zinc(2+)
CHEBI:16768	mycothiol
CHEBI:16856	glutathione
CHEBI:15857	5-L-glutamyl amino acid
CHEBI:25941	peroxynitrite
